Type,Merk,kapasitas_mesin_cc,Bulan,PPnBM,jumlah_penjualan
Yaris,Toyota,1500,2020-01-01,0,847
Yaris,Toyota,1500,2020-02-01,0,804
Yaris,Toyota,1500,2020-03-01,0,561
Yaris,Toyota,1500,2020-04-01,0,102
Yaris,Toyota,1500,2020-05-01,0,11
Yaris,Toyota,1500,2020-06-01,0,39
Yaris,Toyota,1500,2020-07-01,0,23
Yaris,Toyota,1500,2020-08-01,0,1
Yaris,Toyota,1500,2020-09-01,0,457
Yaris,Toyota,1500,2020-10-01,0,495
Yaris,Toyota,1500,2020-11-01,0,352
Yaris,Toyota,1500,2020-12-01,0,324
Yaris,Toyota,1500,2021-01-01,0,351
Yaris,Toyota,1500,2021-02-01,0,493
Yaris,Toyota,1500,2021-03-01,100,1020
Yaris,Toyota,1500,2021-04-01,100,241
Yaris,Toyota,1500,2021-05-01,100,552
Yaris,Toyota,1500,2021-06-01,100,1188
Yaris,Toyota,1500,2021-07-01,100,688
Yaris,Toyota,1500,2021-08-01,100,259
Yaris,Toyota,1500,2021-09-01,100,649
Yaris,Toyota,1500,2021-10-01,100,731
Yaris,Toyota,1500,2021-11-01,100,325
Yaris,Toyota,1500,2021-12-01,100,117
Yaris,Toyota,1500,2022-01-01,0,278
Yaris,Toyota,1500,2022-02-01,0,483
Sienta,Toyota,1500,2020-01-01,0,31
Sienta,Toyota,1500,2020-02-01,0,68
Sienta,Toyota,1500,2020-03-01,0,65
Sienta,Toyota,1500,2020-04-01,0,14
Sienta,Toyota,1500,2020-05-01,0,4
Sienta,Toyota,1500,2020-06-01,0,13
Sienta,Toyota,1500,2020-07-01,0,19
Sienta,Toyota,1500,2020-08-01,0,8
Sienta,Toyota,1500,2020-09-01,0,33
Sienta,Toyota,1500,2020-10-01,0,32
Sienta,Toyota,1500,2020-11-01,0,75
Sienta,Toyota,1500,2020-12-01,0,10
Sienta,Toyota,1500,2021-01-01,0,19
Sienta,Toyota,1500,2021-02-01,0,36
Sienta,Toyota,1500,2021-03-01,100,68
Sienta,Toyota,1500,2021-04-01,100,56
Sienta,Toyota,1500,2021-05-01,100,122
Sienta,Toyota,1500,2021-06-01,100,87
Sienta,Toyota,1500,2021-07-01,100,122
Sienta,Toyota,1500,2021-08-01,100,180
Sienta,Toyota,1500,2021-09-01,100,63
Sienta,Toyota,1500,2021-10-01,100,26
Sienta,Toyota,1500,2021-11-01,100,32
Sienta,Toyota,1500,2021-12-01,100,30
Sienta,Toyota,1500,2022-01-01,0,8
Sienta,Toyota,1500,2022-02-01,0,5
Avanza,Toyota,1300,2020-01-01,0,5727
Avanza,Toyota,1300,2020-02-01,0,5706
Avanza,Toyota,1300,2020-03-01,0,5775
Avanza,Toyota,1300,2020-04-01,0,189
Avanza,Toyota,1300,2020-05-01,0,36
Avanza,Toyota,1300,2020-06-01,0,285
Avanza,Toyota,1300,2020-07-01,0,926
Avanza,Toyota,1300,2020-08-01,0,280
Avanza,Toyota,1300,2020-09-01,0,837
Avanza,Toyota,1300,2020-10-01,0,4879
Avanza,Toyota,1300,2020-11-01,0,2981
Avanza,Toyota,1300,2020-12-01,0,2632
Avanza,Toyota,1300,2021-01-01,0,2199
Avanza,Toyota,1300,2021-02-01,0,1471
Avanza,Toyota,1300,2021-03-01,100,5540
Avanza,Toyota,1300,2021-04-01,100,3553
Avanza,Toyota,1300,2021-05-01,100,3101
Avanza,Toyota,1300,2021-06-01,100,3287
Avanza,Toyota,1300,2021-07-01,100,4868
Avanza,Toyota,1300,2021-08-01,100,5418
Avanza,Toyota,1300,2021-09-01,100,5325
Avanza,Toyota,1300,2021-10-01,100,542
Avanza,Toyota,1300,2021-11-01,100,245
Avanza,Toyota,1300,2021-12-01,100,362
Avanza,Toyota,1300,2022-01-01,0,362
Avanza,Toyota,1300,2022-02-01,0,444
Avanza,Toyota,1500,2020-01-01,0,873
Avanza,Toyota,1500,2020-02-01,0,1376
Avanza,Toyota,1500,2020-03-01,0,1311
Avanza,Toyota,1500,2020-04-01,0,88
Avanza,Toyota,1500,2020-05-01,0,55
Avanza,Toyota,1500,2020-06-01,0,116
Avanza,Toyota,1500,2020-07-01,0,182
Avanza,Toyota,1500,2020-08-01,0,191
Avanza,Toyota,1500,2020-09-01,0,1151
Avanza,Toyota,1500,2020-10-01,0,523
Avanza,Toyota,1500,2020-11-01,0,907
Avanza,Toyota,1500,2020-12-01,0,1239
Avanza,Toyota,1500,2021-01-01,0,0
Avanza,Toyota,1500,2021-02-01,0,0
Avanza,Toyota,1500,2021-03-01,100,0
Avanza,Toyota,1500,2021-04-01,100,0
Avanza,Toyota,1500,2021-05-01,100,1
Avanza,Toyota,1500,2021-06-01,100,0
Avanza,Toyota,1500,2021-07-01,100,0
Avanza,Toyota,1500,2021-08-01,100,0
Avanza,Toyota,1500,2021-09-01,100,0
Avanza,Toyota,1500,2021-10-01,100,0
Avanza,Toyota,1500,2021-11-01,100,7906
Avanza,Toyota,1500,2021-12-01,100,9619
Avanza,Toyota,1500,2022-01-01,0,2823
Avanza,Toyota,1500,2022-02-01,0,2615
Rush,Toyota,1500,2020-01-01,0,4499
Rush,Toyota,1500,2020-02-01,0,3296
Rush,Toyota,1500,2020-03-01,0,4302
Rush,Toyota,1500,2020-04-01,0,211
Rush,Toyota,1500,2020-05-01,0,114
Rush,Toyota,1500,2020-06-01,0,460
Rush,Toyota,1500,2020-07-01,0,669
Rush,Toyota,1500,2020-08-01,0,2214
Rush,Toyota,1500,2020-09-01,0,3313
Rush,Toyota,1500,2020-10-01,0,6277
Rush,Toyota,1500,2020-11-01,0,2913
Rush,Toyota,1500,2020-12-01,0,4153
Rush,Toyota,1500,2021-01-01,0,3985
Rush,Toyota,1500,2021-02-01,0,2160
Rush,Toyota,1500,2021-03-01,100,6930
Rush,Toyota,1500,2021-04-01,100,2889
Rush,Toyota,1500,2021-05-01,100,3227
Rush,Toyota,1500,2021-06-01,100,3795
Rush,Toyota,1500,2021-07-01,100,3262
Rush,Toyota,1500,2021-08-01,100,4715
Rush,Toyota,1500,2021-09-01,100,6004
Rush,Toyota,1500,2021-10-01,100,5312
Rush,Toyota,1500,2021-11-01,100,6285
Rush,Toyota,1500,2021-12-01,100,4346
Rush,Toyota,1500,2022-01-01,0,3751
Rush,Toyota,1500,2022-02-01,0,3811
Xenia,Daihatsu,1300,2020-01-01,0,1907
Xenia,Daihatsu,1300,2020-02-01,0,2171
Xenia,Daihatsu,1300,2020-03-01,0,1624
Xenia,Daihatsu,1300,2020-04-01,0,93
Xenia,Daihatsu,1300,2020-05-01,0,0
Xenia,Daihatsu,1300,2020-06-01,0,11
Xenia,Daihatsu,1300,2020-07-01,0,40
Xenia,Daihatsu,1300,2020-08-01,0,74
Xenia,Daihatsu,1300,2020-09-01,0,388
Xenia,Daihatsu,1300,2020-10-01,0,364
Xenia,Daihatsu,1300,2020-11-01,0,384
Xenia,Daihatsu,1300,2020-12-01,0,376
Xenia,Daihatsu,1300,2021-01-01,0,793
Xenia,Daihatsu,1300,2021-02-01,0,342
Xenia,Daihatsu,1300,2021-03-01,100,1352
Xenia,Daihatsu,1300,2021-04-01,100,710
Xenia,Daihatsu,1300,2021-05-01,100,546
Xenia,Daihatsu,1300,2021-06-01,100,1505
Xenia,Daihatsu,1300,2021-07-01,100,243
Xenia,Daihatsu,1300,2021-08-01,100,665
Xenia,Daihatsu,1300,2021-09-01,100,1114
Xenia,Daihatsu,1300,2021-10-01,100,1151
Xenia,Daihatsu,1300,2021-11-01,100,108
Xenia,Daihatsu,1300,2021-12-01,100,294
